ranking,user,project,language,stars,stars_today,forks
1,atherosai , ui,HTML,2.947,205 stars today,583.0
2,onevcat , Kingfisher,Swift,22.313,142 stars today,2.551
3,Ryujinx , Ryujinx,C#,30.309,455 stars today,3.381
4,emoisback , Helldivers-2-Internal-Hack-Dll-Proxy-PoC,C++,101.0,32 stars today,160.0
5,rasbt , LLMs-from-scratch,Jupyter Notebook,10.282,358 stars today,743.0
6,boxyhq , saas-starter-kit,TypeScript,1.588,54 stars today,320.0
7,QwenLM , Qwen-Agent,Python,1.036,53 stars today,111.0
8,bgstaal , multipleWindow3dScene,JavaScript,15.269,187 stars today,2.369
9,google , maxtext,Python,636.0,11 stars today,92.0
10,VAST-AI-Research , TripoSR,Python,2.2,1.298 stars today,250.0
11,nikic , PHP-Parser,PHP,16.747,77 stars today,1.06
12,BeyondDimension , SteamTools,C#,17.648,33 stars today,1.094
13,daytonaio , daytona,Go,2.287,689 stars today,55.0
14,midudev , la-velada-web-oficial,Astro,707.0,41 stars today,348.0
15,gptscript-ai , gptscript,Go,1.813,40 stars today,149.0
16,langchain4j , langchain4j,Java,2.138,149 stars today,385.0
17,barry-ran , QtScrcpy,Java,14.872,261 stars today,2.104
18,abi , screenshot-to-code,Python,43.706,350 stars today,5.111
19,gradio-app , gradio,Python,27.25,228 stars today,1.979
20,argoproj , argo-cd,Go,15.66,17 stars today,4.7
21,anthropics , anthropic-cookbook,Jupyter Notebook,567.0,37 stars today,62.0
22,ixartz , Next-js-Boilerplate,TypeScript,6.134,83 stars today,1.185
23,munris-vlad , airdrop-checker,JavaScript,61.0,1 star today,49.0
24,QuivrHQ , quivr,TypeScript,28.901,57 stars today,2.805
25,SDWebImage , SDWebImage,Objective-C,24.78,4 stars today,5.896
